rx_time_ms,sequence_number,tx_timestamp_ms,rssi,payload_size,scenario_id,packet_rate
24096,19390,970216,-90,100,run03,20
24150,19391,970266,-90,100,run03,20
24196,19392,970316,-91,100,run03,20
24249,19393,970366,-90,100,run03,20
24296,19394,970416,-91,100,run03,20
24346,19395,970466,-92,100,run03,20
24396,19396,970516,-91,100,run03,20
24448,19397,970566,-92,100,run03,20
24499,19398,970616,-87,100,run03,20
24546,19399,970666,-91,100,run03,20
24606,19400,970716,-91,100,run03,20
24646,19401,970766,-90,100,run03,20
24696,19402,970816,-91,100,run03,20
24746,19403,970866,-90,100,run03,20
24796,19404,970916,-90,100,run03,20
24847,19405,970966,-92,100,run03,20
24896,19406,971016,-90,100,run03,20
24958,19407,971066,-91,100,run03,20
25013,19408,971116,-90,100,run03,20
25046,19409,971166,-90,100,run03,20
25096,19410,971216,-89,100,run03,20
25146,19411,971266,-92,100,run03,20
25206,19412,971316,-91,100,run03,20
25249,19413,971366,-90,100,run03,20
25298,19414,971416,-89,100,run03,20
25347,19415,971466,-91,100,run03,20
25397,19416,971516,-90,100,run03,20
25450,19417,971566,-90,100,run03,20
25509,19418,971616,-91,100,run03,20
25549,19419,971666,-88,100,run03,20
25599,19420,971716,-90,100,run03,20
25650,19421,971766,-91,100,run03,20
25700,19422,971816,-89,100,run03,20
25757,19423,971866,-90,100,run03,20
25799,19424,971916,-89,100,run03,20
25849,19425,971966,-91,100,run03,20
25897,19426,972016,-88,100,run03,20
25947,19427,972066,-89,100,run03,20
25996,19428,972116,-90,100,run03,20
26050,19429,972166,-90,100,run03,20
26101,19430,972216,-89,100,run03,20
26146,19431,972266,-91,100,run03,20
26202,19432,972316,-90,100,run03,20
26247,19433,972366,-84,100,run03,20
26307,19434,972416,-89,100,run03,20
26346,19435,972466,-88,100,run03,20
26400,19436,972516,-91,100,run03,20
26446,19437,972566,-90,100,run03,20
26496,19438,972616,-86,100,run03,20
26547,19439,972666,-88,100,run03,20
26610,19440,972716,-91,100,run03,20
26646,19441,972766,-90,100,run03,20
26701,19442,972816,-91,100,run03,20
26756,19443,972866,-90,100,run03,20
26796,19444,972916,-89,100,run03,20
26851,19445,972966,-91,100,run03,20
26898,19446,973016,-89,100,run03,20
26946,19447,973066,-87,100,run03,20
26996,19448,973116,-90,100,run03,20
27046,19449,973166,-89,100,run03,20
27107,19450,973216,-89,100,run03,20
27153,19451,973266,-89,100,run03,20
27196,19452,973316,-88,100,run03,20
27248,19453,973366,-88,100,run03,20
27296,19454,973416,-89,100,run03,20
27397,19455,973466,-91,100,run03,20
27415,19456,973516,-89,100,run03,20
27448,19457,973566,-88,100,run03,20
27498,19458,973616,-94,100,run03,20
27549,19459,973666,-89,100,run03,20
27596,19460,973716,-90,100,run03,20
27646,19461,973766,-91,100,run03,20
27696,19462,973816,-88,100,run03,20
27747,19463,973866,-88,100,run03,20
27796,19464,973916,-89,100,run03,20
27849,19465,973966,-89,100,run03,20
27896,19466,974016,-90,100,run03,20
27960,19467,974066,-90,100,run03,20
28019,19468,974116,-90,100,run03,20
28047,19469,974166,-91,100,run03,20
28096,19470,974216,-88,100,run03,20
28155,19471,974266,-87,100,run03,20
28199,19472,974316,-90,100,run03,20
28247,19473,974366,-90,100,run03,20
28296,19474,974416,-89,100,run03,20
28349,19475,974466,-92,100,run03,20
28396,19476,974516,-88,100,run03,20
28447,19477,974566,-89,100,run03,20
28496,19478,974616,-85,100,run03,20
28549,19479,974666,-88,100,run03,20
28596,19480,974716,-89,100,run03,20
28646,19481,974766,-90,100,run03,20
28697,19482,974816,-90,100,run03,20
28747,19483,974866,-89,100,run03,20
28796,19484,974916,-87,100,run03,20
28846,19485,974966,-89,100,run03,20
28896,19486,975016,-90,100,run03,20
28947,19487,975066,-89,100,run03,20
28996,19488,975116,-88,100,run03,20
29054,19489,975166,-90,100,run03,20
29096,19490,975216,-89,100,run03,20
29155,19491,975266,-89,100,run03,20
29196,19492,975316,-88,100,run03,20
29248,19493,975366,-88,100,run03,20
29296,19494,975416,-91,100,run03,20
29346,19495,975466,-89,100,run03,20
29396,19496,975516,-89,100,run03,20
29446,19497,975566,-85,100,run03,20
29496,19498,975616,-88,100,run03,20
29546,19499,975666,-91,100,run03,20
29601,19500,975716,-89,100,run03,20
29655,19501,975766,-89,100,run03,20
29697,19502,975816,-87,100,run03,20
29746,19503,975866,-88,100,run03,20
29797,19504,975916,-90,100,run03,20
29846,19505,975966,-90,100,run03,20
29900,19506,976016,-83,100,run03,20
29946,19507,976066,-88,100,run03,20
29996,19508,976116,-90,100,run03,20
30046,19509,976166,-90,100,run03,20
30098,19510,976216,-90,100,run03,20
30146,19511,976266,-88,100,run03,20
30198,19512,976316,-90,100,run03,20
30248,19513,976366,-88,100,run03,20
