rx_time_ms,sequence_number,tx_timestamp_ms,rssi,payload_size,scenario_id,packet_rate
30834,9388,470116,-86,100,run02,20
30889,9389,470166,-87,100,run02,20
30934,9390,470216,-88,100,run02,20
30984,9391,470266,-88,100,run02,20
31034,9392,470316,-86,100,run02,20
31084,9393,470366,-86,100,run02,20
31134,9394,470416,-87,100,run02,20
31185,9395,470466,-87,100,run02,20
31234,9396,470516,-86,100,run02,20
31284,9397,470566,-85,100,run02,20
31334,9398,470616,-87,100,run02,20
31384,9399,470666,-87,100,run02,20
31436,9400,470716,-87,100,run02,20
31484,9401,470766,-86,100,run02,20
31535,9402,470816,-86,100,run02,20
31588,9403,470866,-86,100,run02,20
31634,9404,470916,-84,100,run02,20
31686,9405,470966,-87,100,run02,20
31734,9406,471016,-85,100,run02,20
31784,9407,471066,-87,100,run02,20
31835,9408,471116,-86,100,run02,20
31885,9409,471166,-86,100,run02,20
31934,9410,471216,-86,100,run02,20
31984,9411,471266,-87,100,run02,20
32036,9412,471316,-85,100,run02,20
32084,9413,471366,-86,100,run02,20
32134,9414,471416,-86,100,run02,20
32184,9415,471466,-86,100,run02,20
32246,9416,471516,-86,100,run02,20
32284,9417,471566,-86,100,run02,20
32336,9418,471616,-86,100,run02,20
32384,9419,471666,-86,100,run02,20
32435,9420,471716,-86,100,run02,20
32484,9421,471766,-85,100,run02,20
32534,9422,471816,-85,100,run02,20
32584,9423,471866,-87,100,run02,20
32634,9424,471916,-87,100,run02,20
32687,9425,471966,-86,100,run02,20
32736,9426,472016,-86,100,run02,20
32787,9427,472066,-85,100,run02,20
32839,9428,472116,-86,100,run02,20
32884,9429,472166,-88,100,run02,20
32944,9430,472216,-88,100,run02,20
32984,9431,472266,-87,100,run02,20
33048,9432,472316,-87,100,run02,20
33088,9433,472366,-88,100,run02,20
33135,9434,472416,-86,100,run02,20
33187,9435,472466,-86,100,run02,20
33235,9436,472516,-88,100,run02,20
33284,9437,472566,-86,100,run02,20
33334,9438,472616,-86,100,run02,20
33386,9439,472666,-86,100,run02,20
33436,9440,472716,-85,100,run02,20
33484,9441,472766,-84,100,run02,20
33539,9442,472816,-84,100,run02,20
33584,9443,472866,-83,100,run02,20
33640,9444,472916,-84,100,run02,20
33685,9445,472966,-84,100,run02,20
33734,9446,473016,-84,100,run02,20
33784,9447,473066,-80,100,run02,20
33837,9448,473116,-83,100,run02,20
33895,9449,473166,-82,100,run02,20
33934,9450,473216,-83,100,run02,20
33984,9451,473266,-82,100,run02,20
34034,9452,473316,-82,100,run02,20
34084,9453,473366,-84,100,run02,20
34134,9454,473416,-85,100,run02,20
34184,9455,473466,-86,100,run02,20
34237,9456,473516,-86,100,run02,20
34288,9457,473566,-84,100,run02,20
34335,9458,473616,-86,100,run02,20
34384,9459,473666,-84,100,run02,20
34439,9460,473716,-86,100,run02,20
34495,9461,473766,-90,100,run02,20
34535,9462,473816,-84,100,run02,20
34584,9463,473866,-83,100,run02,20
34634,9464,473916,-84,100,run02,20
34692,9465,473966,-80,100,run02,20
34734,9466,474016,-82,100,run02,20
34784,9467,474066,-84,100,run02,20
34836,9468,474116,-81,100,run02,20
34885,9469,474166,-82,100,run02,20
34934,9470,474216,-81,100,run02,20
34988,9471,474266,-82,100,run02,20
35041,9472,474316,-83,100,run02,20
35084,9473,474366,-79,100,run02,20
35134,9474,474416,-83,100,run02,20
35185,9475,474466,-82,100,run02,20
35235,9476,474516,-84,100,run02,20
35289,9477,474566,-82,100,run02,20
35334,9478,474616,-82,100,run02,20
35384,9479,474666,-81,100,run02,20
35434,9480,474716,-82,100,run02,20
35485,9481,474766,-83,100,run02,20
35534,9482,474816,-81,100,run02,20
35587,9483,474866,-81,100,run02,20
35634,9484,474916,-81,100,run02,20
35686,9485,474966,-89,100,run02,20
35734,9486,475016,-81,100,run02,20
35784,9487,475066,-81,100,run02,20
35837,9488,475116,-81,100,run02,20
35898,9489,475166,-82,100,run02,20
35939,9490,475216,-82,100,run02,20
35986,9491,475266,-83,100,run02,20
36034,9492,475316,-82,100,run02,20
36084,9493,475366,-82,100,run02,20
36137,9494,475416,-82,100,run02,20
36184,9495,475466,-81,100,run02,20
36234,9496,475516,-83,100,run02,20
36284,9497,475566,-82,100,run02,20
36334,9498,475616,-82,100,run02,20
36384,9499,475666,-83,100,run02,20
36435,9500,475716,-83,100,run02,20
36484,9501,475766,-84,100,run02,20
36536,9502,475816,-83,100,run02,20
36584,9503,475866,-81,100,run02,20
36634,9504,475916,-80,100,run02,20
36684,9505,475966,-80,100,run02,20
36734,9506,476016,-80,100,run02,20
36784,9507,476066,-82,100,run02,20
36835,9508,476116,-82,100,run02,20
36884,9509,476166,-82,100,run02,20
36934,9510,476216,-84,100,run02,20
36984,9511,476266,-85,100,run02,20
37048,9512,476316,-89,100,run02,20
37084,9513,476366,-84,100,run02,20
37142,9514,476416,-81,100,run02,20
37184,9515,476466,-82,100,run02,20
37237,9516,476516,-81,100,run02,20
37289,9517,476566,-82,100,run02,20
37338,9518,476616,-85,100,run02,20
37384,9519,476666,-85,100,run02,20
37458,9520,476716,-82,100,run02,20
37504,9521,476766,-82,100,run02,20
37536,9522,476816,-82,100,run02,20
37599,9523,476866,-90,100,run02,20
37636,9524,476916,-85,100,run02,20
37687,9525,476966,-83,100,run02,20
37735,9526,477016,-82,100,run02,20
37784,9527,477066,-81,100,run02,20
37834,9528,477116,-83,100,run02,20
37886,9529,477166,-84,100,run02,20
37937,9530,477216,-82,100,run02,20
37986,9531,477266,-78,100,run02,20
38043,9532,477316,-82,100,run02,20
38084,9533,477366,-79,100,run02,20
38136,9534,477416,-83,100,run02,20
38186,9535,477466,-79,100,run02,20
38238,9536,477516,-83,100,run02,20
38286,9537,477566,-83,100,run02,20
38334,9538,477616,-84,100,run02,20
38387,9539,477666,-88,100,run02,20
38434,9540,477716,-83,100,run02,20
38486,9541,477766,-84,100,run02,20
38534,9542,477816,-84,100,run02,20
38584,9543,477866,-84,100,run02,20
38635,9544,477916,-84,100,run02,20
38684,9545,477966,-83,100,run02,20
38734,9546,478016,-85,100,run02,20
38791,9547,478066,-82,100,run02,20
38834,9548,478116,-83,100,run02,20
38884,9549,478166,-83,100,run02,20
38935,9550,478216,-78,100,run02,20
38985,9551,478266,-82,100,run02,20
39035,9552,478316,-83,100,run02,20
39085,9553,478366,-83,100,run02,20
39136,9554,478416,-83,100,run02,20
39188,9555,478466,-81,100,run02,20
39234,9556,478516,-81,100,run02,20
39286,9557,478566,-82,100,run02,20
39334,9558,478616,-81,100,run02,20
39386,9559,478666,-83,100,run02,20
39434,9560,478716,-82,100,run02,20
39485,9561,478766,-82,100,run02,20
39536,9562,478816,-82,100,run02,20
39585,9563,478866,-83,100,run02,20
39636,9564,478916,-83,100,run02,20
39697,9565,478966,-83,100,run02,20
39737,9566,479016,-84,100,run02,20
39790,9567,479066,-82,100,run02,20
39834,9568,479116,-83,100,run02,20
39885,9569,479166,-82,100,run02,20
39934,9570,479216,-82,100,run02,20
39988,9571,479266,-83,100,run02,20
40038,9572,479316,-83,100,run02,20
40084,9573,479366,-84,100,run02,20
40134,9574,479416,-83,100,run02,20
40186,9575,479466,-83,100,run02,20
40234,9576,479516,-83,100,run02,20
40288,9577,479566,-82,100,run02,20
40336,9578,479616,-84,100,run02,20
40384,9579,479666,-83,100,run02,20
40434,9580,479716,-83,100,run02,20
40488,9581,479766,-83,100,run02,20
40534,9582,479816,-82,100,run02,20
40584,9583,479866,-82,100,run02,20
40636,9584,479916,-82,100,run02,20
40684,9585,479966,-82,100,run02,20
40734,9586,480016,-84,100,run02,20
40784,9587,480066,-83,100,run02,20
40834,9588,480116,-83,100,run02,20
40884,9589,480166,-84,100,run02,20
40936,9590,480216,-82,100,run02,20
40984,9591,480266,-84,100,run02,20
41041,9592,480316,-84,100,run02,20
41084,9593,480366,-85,100,run02,20
41134,9594,480416,-79,100,run02,20
41184,9595,480466,-84,100,run02,20
41238,9596,480516,-83,100,run02,20
41284,9597,480566,-85,100,run02,20
41347,9598,480616,-83,100,run02,20
41384,9599,480666,-80,100,run02,20
41434,9600,480716,-84,100,run02,20
41484,9601,480766,-82,100,run02,20
41538,9602,480816,-83,100,run02,20
41584,9603,480866,-85,100,run02,20
41635,9604,480916,-84,100,run02,20
41684,9605,480966,-81,100,run02,20
41734,9606,481016,-83,100,run02,20
41784,9607,481066,-83,100,run02,20
41836,9608,481116,-82,100,run02,20
41884,9609,481166,-83,100,run02,20
41935,9610,481216,-81,100,run02,20
41984,9611,481266,-83,100,run02,20
42034,9612,481316,-83,100,run02,20
42084,9613,481366,-82,100,run02,20
42147,9614,481416,-82,100,run02,20
42184,9615,481466,-84,100,run02,20
42235,9616,481516,-83,100,run02,20
42286,9617,481566,-83,100,run02,20
42340,9618,481616,-83,100,run02,20
42384,9619,481666,-84,100,run02,20
42434,9620,481716,-84,100,run02,20
42488,9621,481766,-81,100,run02,20
42535,9622,481816,-83,100,run02,20
42584,9623,481866,-83,100,run02,20
42634,9624,481916,-83,100,run02,20
42684,9625,481966,-81,100,run02,20
42734,9626,482016,-82,100,run02,20
42784,9627,482066,-82,100,run02,20
42835,9628,482116,-84,100,run02,20
42884,9629,482166,-83,100,run02,20
42936,9630,482216,-83,100,run02,20
42984,9631,482266,-84,100,run02,20
43034,9632,482316,-84,100,run02,20
43084,9633,482366,-83,100,run02,20
43134,9634,482416,-83,100,run02,20
43184,9635,482466,-84,100,run02,20
43234,9636,482516,-84,100,run02,20
43290,9637,482566,-83,100,run02,20
43342,9638,482616,-89,100,run02,20
43389,9639,482666,-84,100,run02,20
43435,9640,482716,-84,100,run02,20
43485,9641,482766,-84,100,run02,20
43534,9642,482816,-83,100,run02,20
43584,9643,482866,-83,100,run02,20
43636,9644,482916,-84,100,run02,20
43687,9645,482966,-84,100,run02,20
43734,9646,483016,-83,100,run02,20
43789,9647,483066,-84,100,run02,20
43834,9648,483116,-85,100,run02,20
43884,9649,483166,-85,100,run02,20
43936,9650,483216,-85,100,run02,20
43984,9651,483266,-84,100,run02,20
44035,9652,483316,-83,100,run02,20
44088,9653,483366,-84,100,run02,20
44134,9654,483416,-83,100,run02,20
44188,9655,483466,-84,100,run02,20
44234,9656,483516,-84,100,run02,20
44284,9657,483566,-83,100,run02,20
44334,9658,483616,-83,100,run02,20
44385,9659,483666,-82,100,run02,20
44434,9660,483716,-80,100,run02,20
44489,9661,483766,-82,100,run02,20
44534,9662,483816,-82,100,run02,20
44584,9663,483866,-81,100,run02,20
44634,9664,483916,-82,100,run02,20
44698,9665,483966,-81,100,run02,20
44734,9666,484016,-83,100,run02,20
44784,9667,484066,-79,100,run02,20
44837,9668,484116,-84,100,run02,20
44884,9669,484166,-84,100,run02,20
44934,9670,484216,-83,100,run02,20
44984,9671,484266,-83,100,run02,20
45034,9672,484316,-85,100,run02,20
45087,9673,484366,-85,100,run02,20
45139,9674,484416,-83,100,run02,20
45184,9675,484466,-83,100,run02,20
45234,9676,484516,-84,100,run02,20
45284,9677,484566,-84,100,run02,20
45337,9678,484616,-84,100,run02,20
45384,9679,484666,-84,100,run02,20
45440,9680,484716,-83,100,run02,20
45484,9681,484766,-83,100,run02,20
45534,9682,484816,-84,100,run02,20
45584,9683,484866,-84,100,run02,20
45634,9684,484916,-84,100,run02,20
45684,9685,484966,-84,100,run02,20
45735,9686,485016,-83,100,run02,20
45785,9687,485066,-84,100,run02,20
45842,9688,485116,-86,100,run02,20
45884,9689,485166,-84,100,run02,20
45934,9690,485216,-84,100,run02,20
45984,9691,485266,-83,100,run02,20
46035,9692,485316,-83,100,run02,20
46084,9693,485366,-84,100,run02,20
46146,9694,485416,-82,100,run02,20
46190,9695,485466,-83,100,run02,20
46234,9696,485516,-84,100,run02,20
46284,9697,485566,-83,100,run02,20
46336,9698,485616,-82,100,run02,20
46384,9699,485666,-83,100,run02,20
46435,9700,485716,-81,100,run02,20
46484,9701,485766,-83,100,run02,20
46537,9702,485816,-81,100,run02,20
46589,9703,485866,-81,100,run02,20
46641,9704,485916,-85,100,run02,20
46684,9705,485966,-83,100,run02,20
46734,9706,486016,-83,100,run02,20
46788,9707,486066,-80,100,run02,20
