pc_timestamp,record,session_id,rx_ms_receiver,src_mac,dst_mac,seq,tx_ms_sender,gap,total_missing,name,value,rssi_dbm,noise_floor_dbm,snr_db,channel,sig_mode,mcs,rate
2026-06-14T12:17:10,RX,run63,21706,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440047,1600470,2,18,ESP_SENDER,47.74,-98,-93,-5,1,0,0,0
2026-06-14T12:17:10,RX,run63,21746,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440051,1600510,3,21,ESP_SENDER,25.57,-98,-93,-5,1,0,0,0
2026-06-14T12:17:10,RX,run63,21822,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440052,1600520,0,21,ESP_SENDER,23.82,-93,-95,2,1,0,0,0
2026-06-14T12:17:10,RX,run63,21887,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440053,1600530,0,21,ESP_SENDER,1.85,-95,-95,0,1,0,0,0
2026-06-14T12:17:10,RX,run63,21888,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440054,1600540,0,21,ESP_SENDER,72.33,-93,-95,2,1,0,0,0
2026-06-14T12:17:10,RX,run63,21902,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440055,1600550,0,21,ESP_SENDER,20.56,-97,-95,-2,1,0,0,0
2026-06-14T12:17:10,RX,run63,21909,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440056,1600560,0,21,ESP_SENDER,85.57,-91,-94,3,1,0,0,0
2026-06-14T12:17:10,RX,run63,21910,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440058,1600580,1,22,ESP_SENDER,60.44,-98,-95,-3,1,0,0,0
2026-06-14T12:17:10,RX,run63,21911,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440059,1600590,0,22,ESP_SENDER,90.60,-96,-93,-3,1,0,0,0
2026-06-14T12:17:10,RX,run63,21943,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440063,1600630,3,25,ESP_SENDER,98.23,-98,-92,-6,1,0,0,0
2026-06-14T12:17:11,RX,run63,22044,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440067,1600670,3,28,ESP_SENDER,39.14,-98,-94,-4,1,0,0,0
2026-06-14T12:17:11,RX,run63,22109,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440070,1600700,2,30,ESP_SENDER,1.09,-98,-93,-5,1,0,0,0
2026-06-14T12:17:11,RX,run63,22158,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440073,1600730,2,32,ESP_SENDER,69.54,-98,-94,-4,1,0,0,0
2026-06-14T12:17:11,RX,run63,22200,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440076,1600760,2,34,ESP_SENDER,68.82,-98,-94,-4,1,0,0,0
2026-06-14T12:17:11,RX,run63,22240,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440078,1600780,1,35,ESP_SENDER,94.81,-98,-94,-4,1,0,0,0
2026-06-14T12:17:11,RX,run63,22241,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440081,1600810,2,37,ESP_SENDER,97.95,-98,-94,-4,1,0,0,0
2026-06-14T12:17:11,RX,run63,22258,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440084,1600840,2,39,ESP_SENDER,59.41,-98,-92,-6,1,0,0,0
2026-06-14T12:17:11,RX,run63,22306,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440087,1600870,2,41,ESP_SENDER,92.75,-97,-93,-4,1,0,0,0
2026-06-14T12:17:11,RX,run63,22365,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440090,1600900,2,43,ESP_SENDER,26.63,-98,-97,-1,1,0,0,0
2026-06-14T12:17:11,RX,run63,22389,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440091,1600910,0,43,ESP_SENDER,30.66,-95,-96,1,1,0,0,0
2026-06-14T12:17:11,RX,run63,22390,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440092,1600920,0,43,ESP_SENDER,57.67,-98,-94,-4,1,0,0,0
2026-06-14T12:17:11,RX,run63,22435,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440093,1600930,0,43,ESP_SENDER,66.27,-94,-95,1,1,0,0,0
2026-06-14T12:17:11,RX,run63,22447,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440094,1600940,0,43,ESP_SENDER,70.24,-94,-94,0,1,0,0,0
2026-06-14T12:17:11,RX,run63,22448,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440095,1600950,0,43,ESP_SENDER,36.98,-95,-95,0,1,0,0,0
2026-06-14T12:17:11,RX,run63,22455,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440097,1600970,1,44,ESP_SENDER,90.38,-98,-98,0,1,0,0,0
2026-06-14T12:17:11,RX,run63,22462,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440098,1600980,0,44,ESP_SENDER,18.28,-97,-93,-4,1,0,0,0
2026-06-14T12:17:11,RX,run63,22499,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440100,1601000,1,45,ESP_SENDER,66.40,-98,-94,-4,1,0,0,0
2026-06-14T12:17:11,RX,run63,22568,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440104,1601040,3,48,ESP_SENDER,62.93,-98,-93,-5,1,0,0,0
2026-06-14T12:17:11,RX,run63,22601,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440107,1601070,2,50,ESP_SENDER,86.61,-98,-95,-3,1,0,0,0
2026-06-14T12:17:11,RX,run63,22618,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440110,1601100,2,52,ESP_SENDER,26.59,-98,-95,-3,1,0,0,0
2026-06-14T12:17:11,RX,run63,22694,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440114,1601140,3,55,ESP_SENDER,49.83,-98,-95,-3,1,0,0,0
2026-06-14T12:17:11,RX,run63,22718,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440116,1601160,1,56,ESP_SENDER,83.53,-94,-96,2,1,0,0,0
2026-06-14T12:17:11,RX,run63,22729,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440117,1601170,0,56,ESP_SENDER,36.25,-92,-94,2,1,0,0,0
2026-06-14T12:17:11,RX,run63,22730,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440118,1601180,0,56,ESP_SENDER,12.24,-97,-94,-3,1,0,0,0
2026-06-14T12:17:11,RX,run63,22731,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440120,1601200,1,57,ESP_SENDER,51.04,-97,-98,1,1,0,0,0
2026-06-14T12:17:11,RX,run63,22800,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440121,1601210,0,57,ESP_SENDER,86.47,-92,-96,4,1,0,0,0
2026-06-14T12:17:11,RX,run63,22801,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440122,1601220,0,57,ESP_SENDER,20.89,-93,-93,0,1,0,0,0
2026-06-14T12:17:11,RX,run63,22802,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440123,1601230,0,57,ESP_SENDER,90.39,-97,-95,-2,1,0,0,0
2026-06-14T12:17:11,RX,run63,22806,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440124,1601240,0,57,ESP_SENDER,21.57,-95,-94,-1,1,0,0,0
2026-06-14T12:17:11,RX,run63,22864,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440129,1601290,4,61,ESP_SENDER,86.33,-98,-93,-5,1,0,0,0
2026-06-14T12:17:11,RX,run63,22947,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440133,1601330,3,64,ESP_SENDER,27.47,-98,-94,-4,1,0,0,0
2026-06-14T12:17:11,RX,run63,22954,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440134,1601340,0,64,ESP_SENDER,15.37,-97,-94,-3,1,0,0,0
2026-06-14T12:17:11,RX,run63,22955,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440135,1601350,0,64,ESP_SENDER,5.67,-91,-98,7,1,0,0,0
2026-06-14T12:17:11,RX,run63,22965,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440138,1601380,2,66,ESP_SENDER,95.65,-98,-95,-3,1,0,0,0
2026-06-14T12:17:11,RX,run63,22966,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440140,1601400,1,67,ESP_SENDER,78.48,-95,-95,0,1,0,0,0
2026-06-14T12:17:11,RX,run63,22967,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440141,1601410,0,67,ESP_SENDER,2.81,-89,-94,5,1,0,0,0
2026-06-14T12:17:11,RX,run63,22968,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440142,1601420,0,67,ESP_SENDER,49.72,-94,-94,0,1,0,0,0
2026-06-14T12:17:11,RX,run63,22991,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440143,1601430,0,67,ESP_SENDER,88.69,-91,-92,1,1,0,0,0
2026-06-14T12:17:12,RX,run63,23008,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440146,1601460,2,69,ESP_SENDER,95.46,-98,-93,-5,1,0,0,0
2026-06-14T12:17:12,RX,run63,23050,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440150,1601500,3,72,ESP_SENDER,86.87,-98,-94,-4,1,0,0,0
2026-06-14T12:17:12,RX,run63,23051,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440152,1601520,1,73,ESP_SENDER,25.49,-96,-93,-3,1,0,0,0
2026-06-14T12:17:12,RX,run63,23097,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440153,1601530,0,73,ESP_SENDER,54.69,-92,-93,1,1,0,0,0
2026-06-14T12:17:12,RX,run63,23106,F0:24:F9:0E:47:C4,F0:24:F9:0E:9C:F4,440154,1601540,0,73,ESP_SENDER,19.20,-96,-94,-2,1,0,0,0
