round,train_rmse,train_mae,test_rmse,test_mae
52,6.197464497818573,3.983565973191082,10.766882236656354,7.262501191307124
53,6.181783408344719,3.959790970192191,10.694490951160523,7.202065955888215
54,6.164288663303599,3.9377578503738593,10.681988428136766,7.1818392232589705
55,6.142074217614472,3.9117467735393694,10.714152645385862,7.191296613016903
56,6.124038610053993,3.8874722691970063,10.63989678739648,7.12429375622849
57,6.111454400039652,3.868098914852429,10.744413568197752,7.15302653474316
58,6.089523938783268,3.845330031014233,10.805617685228667,7.174675543940133
59,6.0746987589044235,3.829491721400428,10.690530770123619,7.097944097644318
60,6.062109961170566,3.8135138183057857,10.809970936466149,7.135250102341827
61,6.0392805536374725,3.794004625638965,10.960620853532205,7.196512438336519
62,6.028296162888451,3.779702860711408,11.081917885870038,7.235871138529537
63,6.017065045658681,3.7633920930023033,11.07835823894331,7.222973124129199
64,6.0051567515986815,3.7493011248871455,11.029531495360459,7.180914381997344
65,5.99504129283836,3.735335661195367,11.060337512354078,7.186438940933656
66,5.982108606682104,3.7196191653130106,11.085062486042263,7.178058079428604
67,5.9650598407715725,3.7040514706303145,11.1132066894769,7.179130366499551
68,5.955069269142969,3.6917869694529664,11.06978075094071,7.223057430095034
69,5.945047051799307,3.681749150502572,11.096658958325023,7.310016878173163
70,5.934083851571026,3.6691223218552893,11.116567828931053,7.3015782265755975
71,5.92018125922366,3.657716780884245,11.151570946478113,7.310651561540496
72,5.911970007442721,3.647318914315863,11.143510912060815,7.294939708066442
73,5.903806733155345,3.6355393300830996,11.155060030786283,7.291840182505345
74,5.899268613798777,3.6271571986805626,11.154965448550627,7.243605983346863
75,5.891909149763082,3.617445104913774,11.180658182804175,7.266324276012964
76,5.877026493223991,3.602766160398668,11.1998141779154,7.265024208957381
77,5.868314709120753,3.5951601300009557,11.167444969373216,7.2413022570678445
78,5.853945848705689,3.585150783826423,11.257116390100881,7.2875637506323105
79,5.841638182322281,3.574443869480292,11.334045507624959,7.338278313976575
80,5.827309314317393,3.5651974948573946,11.361787789631626,7.348528783432529
81,5.81885346898682,3.557097195305423,11.357415362314395,7.342120901035155
82,5.808455788467646,3.5445684013157113,11.344986574212772,7.32367904976906
83,5.800033936573166,3.5365067690251832,11.368008922249775,7.3183328057613855
84,5.792677934683412,3.528182248963727,11.365739241250404,7.340730655551608
85,5.781631301080135,3.519441868501954,11.432684205622355,7.370217021310427
86,5.77548904434666,3.5153939076318723,11.435278523535144,7.36835877837542
87,5.768887824166206,3.5102683182563945,11.433634581185428,7.360340007148236
88,5.757525006806327,3.501616529489074,11.41966647529601,7.348713646871878
89,5.749876374387683,3.495131389475274,11.461776514804187,7.352048844455289
90,5.734388264008148,3.4874157994026316,11.452789724816455,7.342524303525401
91,5.7271074612170025,3.4786073652610527,11.527100459941636,7.37782769453778
92,5.721378736412645,3.4728130626554976,11.547022255204219,7.38261746655885
93,5.711270367992987,3.4666503804694497,11.569148255649537,7.393501417177012
94,5.7044485342421405,3.4623218691962294,11.545514415012326,7.37818608730726
95,5.691869849874854,3.454696624207867,11.559131571560496,7.374351196270945
96,5.682447371101811,3.4504469554430997,11.575092102904794,7.388603244414502
97,5.669458977711108,3.442307385270326,11.612216670512588,7.398208059401053
98,5.658691847515464,3.4369568588275285,11.64680143724305,7.41591104405011
99,5.647810422225404,3.429205633113084,11.62005811900269,7.400215988197552
100,5.639370564849924,3.4225582931582768,11.6627486650525,7.420292738583346
101,5.632392582412907,3.418933789856602,11.683531004957347,7.432289007079121
102,5.623596318598888,3.4125906976746787,11.666862363561576,7.419602789427535
103,5.614133625005717,3.406693023650944,11.77657845515227,7.4662189290813
104,5.6068372056857685,3.402172543148394,11.79485515145273,7.47180534397313
105,5.596367561834603,3.395365573718105,11.80227088330509,7.4778917431723215
106,5.586596553054514,3.389105574271761,11.933181986358166,7.553561735469015
107,5.583785493877301,3.386508531869272,11.98960041131769,7.571715534639881
108,5.5788698063078845,3.38375523229743,11.998140909578064,7.57305920317825
109,5.570333877939742,3.3783089256008876,12.014622019770533,7.57869757626198
